;Worldwide Navigation Database
;Exported via DFD v1.0 19.1003
;Software copyright (c) 2019 Richard Stefan, NAVData-Service
;Support available via forum at http://forum.navigraph.com
;
;Data provided by Navigraph - www.navigraph.com
;Source data copyright (c) 2019 Jeppesen
;This data may be used for ground based recreational computer game
;simulation software only, and may not be recompiled, interpreted,
;or distributed for any purpose without the written consent of Navigraph.
;The contents of this database is dated and must not be used for real
;world navigation as it is unlawful and unsafe to do so.
;
;------------------------------------------------------
;AIRAC Cycle : 1804 (29/MAR/2018 - 26/APR/2018) - Ver.1
;------------------------------------------------------
AYGN 27  -10.311900 150.341717 280 01690
AYGR 03   -8.810417 148.304317 037 01675
AYGR 21   -8.798533 148.313650 217 01675
AYHK 12   -5.457850 150.400850 133 01900
AYHK 30   -5.469467 150.413517 313 01900
AYKA 14   -8.500367 151.075867 139 01630
AYKA 32   -8.512217 151.086083 319 01630
AYKI 07   -6.126850 141.276817 073 01200
AYKI 25   -6.123733 141.287200 253 01200
AYKK 12   -7.422917 144.247450 124 00705
AYKK 30   -7.426400 144.252683 304 00705
AYKM 14   -7.960117 145.768950 145 00944
AYKM 32   -7.967167 145.773750 325 00944
AYKV 12   -2.575000 150.801783 125 01702
AYKV 30   -2.583783 150.814233 305 01702
AYKY 12   -3.040050 152.625367 133 01200
AYKY 30   -3.047567 152.633167 313 01200
AYMD 07   -5.210400 145.781500 075 01570
AYMD 25   -5.207033 145.794117 255 01570
AYMH 08   -5.826333 144.292867 085 01097
AYMH 12   -5.822983 144.290933 121 02190
AYMH 26   -5.825483 144.302733 265 01097
AYMH 30   -5.833333 144.307750 301 02190
AYMN 17   -6.142494 143.656453 173 01340
AYMN 35   -6.154217 143.657917 353 01340
AYMO 16   -2.053933 147.421400 160 01810
AYMO 34   -2.069383 147.426783 340 01810
AYMR 09   -6.362517 143.230050 094 01770
AYMR 27   -6.363650 143.246017 274 01770
AYMS 08  -10.689400 152.832100 083 01200
AYMS 26  -10.688700 152.843033 263 01200
AYNZ 09   -6.568867 146.715250 094 02440
AYNZ 27   -6.570767 146.737233 274 02440
AYPY 14L  -9.430850 147.213900 148 02750 110.10 142
AYPY 14R  -9.434667 147.213000 148 01300
AYPY 32L  -9.444750 147.219233 328 01300
AYPY 32R  -9.452050 147.227000 328 02750 109.50 322
AYTA 14   -5.838850 142.943183 145 01584
AYTA 32   -5.850617 142.951700 325 01584
AYTB 14   -5.274833 141.223500 143 01290
AYTB 32   -5.284150 141.230283 323 01290
AYTK 10   -4.338233 152.372267 106 01720
AYTK 28   -4.342633 152.387133 286 01720
AYVN 12   -2.688217 141.297644 129 01760
AYVN 30   -2.697667 141.308917 309 01760
AYWD 14   -5.630150 143.887800 140 01540
AYWD 32   -5.640108 143.896542 320 01540
AYWK 10   -3.581983 143.661933 103 01600
AYWK 28   -3.585450 143.675900 283 01600
AYXM 16   -6.049281 142.873550 167 03200 108.10 162
AYXM 34   -6.065389 142.877272 347 03200
AZ82 03   34.395020-110.533653 042 01042
AZ82 21   34.401993-110.526039 222 01042
BGAA 11   68.721119 -52.794403 078 00799
BGAA 29   68.722578 -52.775092 258 00799
BGBW 06   61.154400 -45.436786 040 01830
BGBW 24   61.166919 -45.414764 220 01830
BGCO 18   70.745472 -22.653500 157 01000
BGCO 36   70.737167 -22.643028 337 01000
BGGH 05   64.188975 -51.679553 019 00950
BGGH 23   64.197067 -51.673356 199 00950 110.30 223
BGJN 07   69.240144 -51.063372 036 00845
BGJN 25   69.246283 -51.050850 216 00845
BGKK 11   65.573056 -37.136667 084 01199
BGKK 29   65.574167 -37.110833 264 01199
BGMQ 16   65.414617 -52.946297 127 00799
BGMQ 34   65.410311 -52.932544 307 00799
BGMV 14   72.240494 -23.957469 111 01800
BGMV 32   72.234650 -23.908200 291 01800
